date,18:00,19:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-17,28.10000,26.10000,25.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-18,38.80000,34.80000,32.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-19,43.80000,41.60000,39.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-20,37.80000,37.60000,34.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-21,37.00000,36.20000,35.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-22,36.20000,35.20000,34.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-23,35.40000,35.10000,34.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-24,36.40000,31.50000,31.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25,49.60000,47.20000,43.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-26,46.60000,44.70000,42.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-27,43.60000,41.00000,38.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-28,32.90000,32.90000,32.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-29,34.40000,33.20000,31.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,33.10000,32.30000,31.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,32.50000,30.50000,29.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-02,37.30000,35.60000,34.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-03,44.90000,43.60000,41.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-04,42.70000,41.20000,37.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-05,49.90000,45.90000,44.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-06,50.30000,48.50000,45.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-07,49.60000,46.60000,44.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-08,49.70000,42.10000,39.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-09,53.30000,46.20000,43.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-10,41.00000,39.90000,37.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-11,41.40000,38.80000,36.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-12,38.30000,37.60000,36.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-13,41.40000,39.70000,37.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-14,40.00000,39.70000,38.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-15,41.60000,38.90000,38.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-16,47.90000,44.50000,41.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-17,41.00000,40.10000,39.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-18,42.00000,42.10000,39.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-19,43.90000,41.20000,38.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-20,40.20000,39.10000,38.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-21,34.60000,34.20000,33.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-22,33.50000,30.70000,30.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-23,46.80000,43.00000,40.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-24,53.40000,49.90000,47.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-25,53.00000,49.60000,45.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-26,58.50000,55.40000,51.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-27,46.30000,43.60000,43.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-28,32.40000,32.10000,31.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-29,30.80000,29.50000,29.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-30,35.40000,35.40000,33.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-31,39.20000,36.80000,36.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,42.90000,41.40000,40.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-02,49.60000,46.70000,45.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-03,51.30000,45.70000,43.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-04,47.00000,43.40000,41.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-05,44.10000,37.00000,35.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-06,51.50000,47.30000,44.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-07,47.90000,46.20000,45.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-08,40.90000,38.70000,37.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-09,34.30000,33.30000,32.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-10,34.70000,33.30000,31.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-11,31.90000,31.80000,31.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-12,31.10000,28.80000,28.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-13,36.50000,36.40000,35.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-14,39.70000,38.80000,38.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-15,41.90000,41.00000,38.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-16,37.00000,36.20000,34.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-17,37.60000,36.80000,35.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-18,35.60000,36.10000,35.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-19,37.70000,32.40000,32.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-20,38.60000,37.80000,36.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-21,41.40000,38.80000,37.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,36.60000,36.20000,35.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-23,34.70000,33.90000,32.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-24,31.20000,30.40000,28.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-25,30.70000,30.20000,29.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-26,27.10000,25.80000,25.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-27,30.20000,30.40000,30.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-28,34.00000,33.30000,32.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-29,35.60000,35.10000,33.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-30,35.40000,35.60000,34.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-31,34.20000,33.70000,34.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,35.50000,34.40000,33.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-02,34.40000,30.20000,29.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-03,38.30000,38.40000,36.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-04,33.90000,32.30000,31.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-05,33.40000,32.50000,31.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-06,33.50000,33.10000,31.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-07,33.70000,32.20000,31.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-08,30.60000,29.70000,29.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-09,30.90000,28.50000,28.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-10,34.50000,33.30000,33.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-11,36.30000,35.70000,34.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-12,33.10000,32.20000,31.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-13,36.50000,35.20000,34.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-14,40.60000,40.20000,39.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-15,38.60000,38.00000,37.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-16,39.00000,34.90000,34.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-17,41.10000,40.10000,39.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-18,41.80000,41.00000,40.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-19,42.90000,42.50000,41.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-20,39.90000,39.80000,39.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-21,46.80000,46.00000,45.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-22,45.00000,45.60000,45.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-23,43.90000,39.60000,40.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-24,49.10000,47.60000,46.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-25,49.40000,48.20000,46.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-26,47.10000,46.80000,47.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-27,45.00000,44.20000,43.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-28,48.40000,47.60000,47.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-29,49.50000,48.60000,48.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,45.60000,42.10000,42.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,43.70000,43.30000,42.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-02,49.70000,49.70000,48.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-03,45.30000,44.00000,42.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-04,45.80000,44.40000,44.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-05,48.20000,48.30000,47.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-06,43.90000,43.70000,43.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-07,42.20000,37.20000,36.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08,46.60000,45.20000,44.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-09,53.50000,52.00000,50.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-10,55.60000,54.30000,54.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-11,54.70000,52.80000,52.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-12,51.30000,51.70000,51.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-13,45.30000,45.20000,43.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-14,45.30000,40.30000,40.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-15,45.20000,44.70000,44.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-16,52.40000,52.00000,50.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-17,47.70000,48.50000,47.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-18,52.10000,51.20000,49.20000,,,,,,,,,,,,,,,,,,,,,,,,,
